Date,Value
2017-12-31,11.165594328908
2017-11-30,13.342113566269
2017-10-31,10.743144182484
2017-09-30,10.635113778947
2017-08-31,12.641987527664
2017-07-31,12.824532616527
2017-06-30,8.8418648300523
2017-05-31,10.07098332562
2017-04-30,7.6936121162369
2017-03-31,9.8815153886859
2017-02-28,12.073917503328
2017-01-31,10.795436792585
2016-12-31,10.564216336953
2016-11-30,15.929832864515
2016-10-31,16.568014847362
2016-09-30,14.789774298466
2016-08-31,16.220631106308
2016-07-31,12.579527358903
2016-06-30,9.4117952985351
2016-05-31,10.276394943603
2016-04-30,12.206734510154
2016-03-31,10.339390846561
2016-02-29,13.492594520091
2016-01-31,15.225459847832
2015-12-31,12.749090286533
2015-11-30,13.197325921482
2015-10-31,15.165488659843
2015-09-30,9.8356187231925
2015-08-31,11.134051019727
2015-07-31,13.010373324492
2015-06-30,15.022050653207
2015-05-31,11.135090182784
2015-04-30,13.995882128184
2015-03-31,10.595801102972
2015-02-28,13.844873819739
2015-01-31,14.683728951554
2014-12-31,13.755057890966
2014-11-30,14.146834596312
2014-10-31,13.31806094164
2014-09-30,14.395280425711
2014-08-31,18.31853320421
2014-07-31,17.226985236371
2014-06-30,13.010599321367
2014-05-31,20.158521413726
2014-04-30,12.581286676043
2014-03-31,17.337655739563
2014-02-28,17.781562131427
2014-01-31,16.068011575923
2013-12-31,17.389281388354
2013-11-30,12.976004779658
2013-10-31,15.023214419534
2013-09-30,17.032445793504
2013-08-31,16.788812924489
2013-07-31,14.644065525232
2013-06-30,14.523922599397
2013-05-31,14.43468959244
2013-04-30,16.662511329039
2013-03-31,15.534196041367
2013-02-28,12.621678410497
2013-01-31,13.334320187352
2012-12-31,15.402864124835
2012-11-30,14.033602927971
2012-10-31,11.384453337725
2012-09-30,16.469513156878
2012-08-31,11.745978033524
2012-07-31,13.010373324492
2012-06-30,16.386667697436
2012-05-31,12.643982392212
2012-04-30,15.848164363008
2012-03-31,17.590962804016
2012-02-29,15.251800226665
2012-01-31,15.505691264744
2011-12-31,16.48921320137
2011-11-30,12.979316732496
2011-10-31,15.686055007748
2011-09-30,12.390900517003
2011-08-31,16.481435875309
2011-07-31,13.639959613772
2011-06-30,20.449586037462
2011-05-31,19.273572441952
2011-04-30,17.65261692257
2011-03-31,18.214848722019
2011-02-28,14.683101409559
2011-01-31,15.219701911477
2010-12-31,14.104648903422
2010-11-30,15.400586119968
2010-10-31,14.616298382435
2010-09-30,17.45520198957
