Date,Value
1992-11-30,75.165821766
1992-12-31,75.162044633
1993-01-31,75.248248907
1993-02-28,75.368453446
1993-03-31,75.529013939
1993-04-30,75.83183782
1993-05-31,76.322094843
1993-06-30,76.979837014
1993-07-31,77.691005012
1993-08-31,78.275681635
1993-09-30,78.598435972
1993-10-31,78.674753038
1993-11-30,78.631268578
1993-12-31,78.612568214
1994-01-31,78.793355827
1994-02-28,79.340122452
1994-03-31,80.147644753
1994-04-30,80.926502529
1994-05-31,81.540744517
1994-06-30,82.056896486
1994-07-31,82.411900147
1994-08-31,82.362262948
1994-09-30,82.030760788
1994-10-31,81.768106164
1994-11-30,81.784181433
1994-12-31,82.079035499
1995-01-31,82.527263427
1995-02-28,83.00600453
1995-03-31,83.460509287
1995-04-30,83.921465513
1995-05-31,84.359964929
1995-06-30,84.717825504
1995-07-31,84.943649046
1995-08-31,84.985530023
1995-09-30,84.874134299
1995-10-31,84.72664179
1995-11-30,84.689777821
1995-12-31,84.828830188
1996-01-31,85.118665208
1996-02-29,85.555060969
1996-03-31,86.132770166
1996-04-30,86.766687628
1996-05-31,87.368347428
1996-06-30,87.869406921
1996-07-31,88.166027071
1996-08-31,88.235593859
1996-09-30,88.175709358
1996-10-31,88.131006742
1996-11-30,88.151525511
1996-12-31,88.230870858
1997-01-31,88.419847478
1997-02-28,88.758111203
1997-03-31,89.217432369
1997-04-30,89.706068917
1997-05-31,90.122882272
1997-06-30,90.332785357
1997-07-31,90.395183517
1997-08-31,90.570192355
1997-09-30,90.939461648
1997-10-31,91.340940564
1997-11-30,91.569599265
1997-12-31,91.588033875
1998-01-31,91.542756914
1998-02-28,91.642382254
1998-03-31,91.99728767
1998-04-30,92.605683876
1998-05-31,93.320902018
1998-06-30,93.867087859
1998-07-31,94.096886096
1998-08-31,94.056143084
1998-09-30,93.905311871
1998-10-31,93.789738376
1998-11-30,93.706698358
1998-12-31,93.546425064
1999-01-31,93.42213046
1999-02-28,93.619893079
1999-03-31,94.281045179
1999-04-30,95.241107979
1999-05-31,96.040318904
1999-06-30,96.472169677
1999-07-31,96.737036142
1999-08-31,96.914349122
1999-09-30,96.872516208
1999-10-31,96.62412465
1999-11-30,96.377328692
1999-12-31,96.281288955
2000-01-31,96.273521826
2000-02-29,96.367277287
2000-03-31,96.714083412
2000-04-30,97.266373048
2000-05-31,97.864207408
2000-06-30,98.368508205
2000-07-31,98.701148979
2000-08-31,98.947896195
2000-09-30,99.203010448
2000-10-31,99.462829228
2000-11-30,99.710293268
2000-12-31,100.0
2001-01-31,100.38436637
2001-02-28,100.85892142
2001-03-31,101.46670391
2001-04-30,102.19207915
2001-05-31,102.98176187
2001-06-30,103.8352589
2001-07-31,104.73924327
2001-08-31,105.57907512
2001-09-30,106.1475836
2001-10-31,106.25749861
2001-11-30,106.12099726
2001-12-31,106.16379232
2002-01-31,106.49635561
2002-02-28,107.08165214
2002-03-31,107.95386801
2002-04-30,109.05349039
2002-05-31,110.1256058
2002-06-30,110.96818782
2002-07-31,111.59103623
2002-08-31,111.94813512
2002-09-30,112.0331648
2002-10-31,112.05271807
2002-11-30,112.24459714
2002-12-31,112.73813114
2003-01-31,113.44374783
2003-02-28,114.31622027
2003-03-31,115.27631301
2003-04-30,116.24165155
2003-05-31,117.35123868
2003-06-30,118.56746566
2003-07-31,119.76054671
2003-08-31,120.77185876
2003-09-30,121.25150969
2003-10-31,121.26309708
2003-11-30,121.33440707
2003-12-31,121.73420329
2004-01-31,122.41904946
2004-02-29,123.29984245
2004-03-31,124.39313246
2004-04-30,125.82338841
2004-05-31,127.52654554
2004-06-30,129.24343717
2004-07-31,130.73847551
2004-08-31,131.7813394
2004-09-30,132.27403062
2004-10-31,132.58206354
2004-11-30,133.12006692
2004-12-31,133.91076356
2005-01-31,134.88533002
2005-02-28,136.08703868
2005-03-31,137.61849083
2005-04-30,139.33095176
2005-05-31,141.0108183
2005-06-30,142.81715564
2005-07-31,144.85434932
2005-08-31,146.69146255
2005-09-30,147.9189212
2005-10-31,148.56293136
2005-11-30,148.739511
2005-12-31,148.8458253
2006-01-31,149.39976772
2006-02-28,150.49150807
2006-03-31,152.00943389
2006-04-30,153.7671405
2006-05-31,155.4018564
2006-06-30,156.76027581
2006-07-31,157.659858
2006-08-31,157.73733948
2006-09-30,157.14408411
2006-10-31,156.39848562
2006-11-30,155.86761482
2006-12-31,155.58070484
2007-01-31,155.66603134
2007-02-28,156.34743706
2007-03-31,157.43602345
2007-04-30,158.70460951
2007-05-31,160.00580971
2007-06-30,161.00238344
2007-07-31,161.39674137
2007-08-31,161.15494311
2007-09-30,160.31471615
2007-10-31,158.94143101
2007-11-30,157.21776658
2007-12-31,155.50158813
2008-01-31,154.38421866
2008-02-29,154.1770764
2008-03-31,154.72134526
2008-04-30,155.83956083
2008-05-31,157.21220948
2008-06-30,158.3328986
2008-07-31,158.83205016
2008-08-31,158.57381418
2008-09-30,157.73365802
2008-10-31,156.56378005
2008-11-30,155.21485774
2008-12-31,154.01179869
2009-01-31,153.39760726
2009-02-28,153.47323189
2009-03-31,153.99299095
2009-04-30,154.83654696
2009-05-31,155.78397306
2009-06-30,156.45703659
2009-07-31,156.5405888
2009-08-31,156.06027637
2009-09-30,155.29352372
2009-10-31,154.40276907
2009-11-30,153.56979384
2009-12-31,152.89709169
2010-01-31,152.66488417
2010-02-28,153.09894242
2010-03-31,154.02586244
2010-04-30,155.16729073
2010-05-31,156.1426859
2010-06-30,156.63314061
2010-07-31,156.57243877
2010-08-31,156.08307691
2010-09-30,155.50226804
2010-10-31,155.2052223
2010-11-30,155.19884075
2010-12-31,155.35391104
2011-01-31,155.58606395
2011-02-28,155.8209181
2011-03-31,156.19456282
2011-04-30,156.78307825
2011-05-31,157.38579968
2011-06-30,157.62021437
2011-07-31,157.2903711
2011-08-31,156.63070374
2011-09-30,155.78781308
2011-10-31,154.77019616
2011-11-30,153.78918929
2011-12-31,153.04269817
2012-01-31,152.66727158
2012-02-29,152.84463881
2012-03-31,153.80240821
2012-04-30,155.52565837
2012-05-31,157.53520735
2012-06-30,159.21641151
2012-07-31,160.06212438
2012-08-31,159.97300758
2012-09-30,159.48998917
2012-10-31,159.10808122
2012-11-30,158.83692202
2012-12-31,158.64130222
2013-01-31,158.66172331
2013-02-28,159.12727031
2013-03-31,160.28795817
2013-04-30,162.12547295
2013-05-31,164.05079159
2013-06-30,165.35407706
2013-07-31,165.80003917
2013-08-31,165.64216873
2013-09-30,165.15241985
2013-10-31,164.59186313
2013-11-30,164.14016567
2013-12-31,163.85020385
2014-01-31,163.83283451
2014-02-28,164.38776573
2014-03-31,165.56630305
2014-04-30,166.92406354
2014-05-31,168.21739605
2014-06-30,169.3461141
2014-07-31,170.13100603
2014-08-31,170.38723947
2014-09-30,170.06110521
2014-10-31,169.28878104
2014-11-30,168.35208908
2014-12-31,167.7064353
2015-01-31,167.59622046
2015-02-28,168.06862223
2015-03-31,169.2138789
2015-04-30,170.94658748
2015-05-31,172.91564078
2015-06-30,174.59841783
2015-07-31,175.58905196
2015-08-31,175.91908003
2015-09-30,175.75099882
2015-10-31,175.28007042
2015-11-30,174.9284065
2015-12-31,174.74335671
2016-01-31,174.62580069
2016-02-29,174.7598137
2016-03-31,175.31463379
2016-04-30,176.26885591
2016-05-31,177.27669462
2016-06-30,177.73549674
2016-07-31,177.41244181
2016-08-31,176.59105898
2016-09-30,175.7062532
2016-10-31,175.13379283
2016-11-30,174.93241505
2016-12-31,174.92980319
2017-01-31,175.14406774
2017-02-28,175.77093592
2017-03-31,176.75973099
2017-04-30,177.97323828
2017-05-31,179.14080839
2017-06-30,179.97005146
2017-07-31,180.42392479
2017-08-31,180.56233424
2017-09-30,180.311739
